Measurement E8M1
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.1 - 1.12
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.2 - 1.22
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	13.81	2.385
1.515	7.5	45	14.17	1.887
1.515	7.5	75	13.59	1.394
1.515	7.5	105	14.06	1.469
1.515	7.5	135	13.26	1.285
1.515	7.5	165	14.43	1.315
1.515	7.5	195	16.42	1.624
1.515	7.5	225	14.37	1.436
1.515	7.5	255	10.64	1.181
1.515	7.5	285	12.96	1.408
1.515	7.5	315	16.62	2.23
1.515	7.5	345	8.872	1.609
1.515	22.5	15	11.03	3.812
1.515	22.5	45	14.46	2.966
1.515	22.5	75	14.43	1.285
1.515	22.5	105	14.91	0.9463
1.515	22.5	135	15.77	0.8148
1.515	22.5	165	16.2	0.8441
1.515	22.5	195	16.27	0.8343
1.515	22.5	225	14.36	0.7679
1.515	22.5	255	14.56	0.9529
1.515	22.5	285	13.87	1.314
1.515	22.5	315	8.842	2.668
1.515	22.5	345	9.716	2.494
1.515	37.5	15	6.123	1.273
1.515	37.5	75	12.23	1.571
1.515	37.5	105	20.56	2.065
1.515	37.5	135	19.27	0.9268
1.515	37.5	165	18.14	0.7343
1.515	37.5	195	16.78	0.7038
1.515	37.5	225	18.26	0.899
1.515	37.5	255	17.58	2.249
1.515	52.5	45	11.31	1.235
1.515	52.5	75	17.11	0.6818
1.515	52.5	105	21.92	1.48
1.515	52.5	135	18.88	1.189
1.515	52.5	165	16.03	0.6649
1.515	52.5	195	15.78	0.663
1.515	52.5	225	19.16	1.103
1.515	52.5	255	21.58	1.429
1.515	52.5	285	18.96	0.7146
1.515	52.5	315	11.36	1.329
1.515	67.5	45	13.61	0.991
1.515	67.5	75	22.04	0.6969
1.515	67.5	105	24.41	0.8792
1.515	67.5	135	20.6	1.455
1.515	67.5	165	15.91	0.6687
1.515	67.5	195	16.35	0.6988
1.515	67.5	225	24.88	2.286
1.515	67.5	255	24.33	0.8341
1.515	67.5	285	21.9	0.7145
1.515	67.5	315	15.14	1.394
1.515	82.5	45	16.55	1.453
1.515	82.5	75	24.08	0.7822
1.515	82.5	105	26.98	0.8499
1.515	82.5	135	19.93	1.154
1.515	82.5	165	13.68	0.5086
1.515	82.5	195	13.11	0.5008
1.515	82.5	225	19.64	1.088
1.515	82.5	255	26.47	0.7908
1.515	82.5	285	23.86	0.7733
